account_id,customer_id,account_type,opened_date
197,163,Savings,2022-12-17
198,164,Savings,2022-07-21
199,165,Savings,2023-07-09
200,166,Current,2022-01-18
201,167,Savings,2022-10-29
202,168,Savings,2023-03-30
203,169,Savings,2024-08-21
204,170,Savings,2023-09-27
205,171,Savings,2024-05-30
206,172,Savings,2022-12-10
207,173,Savings,2023-03-26
208,174,Savings,2023-02-25
209,175,Savings,2024-06-06
210,176,Current,2024-08-17
211,177,Current,2024-08-20
212,178,Savings,2024-01-22
213,179,Savings,2023-05-19
214,180,Current,2023-06-25
215,180,Current,2023-06-25
216,181,Savings,2024-09-07
217,182,Savings,2022-10-12
218,183,Savings,2022-12-13
219,184,Current,2024-06-15
220,185,Savings,2023-01-22
221,186,Savings,2022-08-24
222,187,Savings,2023-07-15
223,188,Savings,2022-11-22
224,189,Savings,2024-06-09
225,190,Savings,2024-06-28
226,191,Savings,2022-11-03
227,192,Savings,2023-06-14
228,193,Savings,2024-09-10
229,194,Current,2024-01-13
230,195,Savings,2022-08-04
231,196,Savings,2023-08-14
232,196,Savings,2023-08-14
233,197,Savings,2023-09-12
234,197,Savings,2023-09-12
235,198,Savings,2023-10-16
236,199,Savings,2022-01-26
237,200,Savings,2022-10-27
238,201,Savings,2024-05-04
239,202,Current,2022-08-30
240,203,Savings,2022-10-27
241,204,Savings,2022-11-19
242,205,Savings,2022-06-27
243,206,Current,2022-06-05
244,207,Savings,2022-12-14
245,207,Savings,2022-12-14
246,208,Savings,2024-05-24
247,209,Current,2022-01-02
248,210,Current,2022-10-11
249,211,Current,2022-03-02
250,212,Savings,2023-07-16
251,213,Current,2022-09-08
252,214,Current,2024-03-02
253,215,Current,2023-08-09
254,216,Savings,2024-02-23
255,217,Savings,2023-09-27
256,217,Savings,2023-09-27
257,218,Savings,2023-03-15
258,219,Savings,2024-05-10
259,220,Current,2023-04-22
260,221,Savings,2024-08-07
261,222,Savings,2024-09-21
262,223,Current,2023-08-13
263,224,Savings,2023-11-06
264,224,Savings,2023-11-06
265,225,Savings,2022-09-13
266,226,Savings,2024-03-25
267,227,Savings,2023-11-03
268,228,Savings,2024-06-21
269,229,Savings,2022-09-25
270,230,Savings,2024-02-27
271,231,Savings,2023-04-16
272,232,Savings,2022-07-05
273,233,Current,2022-06-21
274,234,Savings,2023-07-17
275,235,Current,2022-11-16
276,236,Current,2022-04-12
277,237,Savings,2023-03-04
278,238,Savings,2023-10-15
279,239,Savings,2022-11-15
280,240,Current,2024-08-13
281,241,Savings,2024-02-19
282,242,Savings,2023-05-28
283,243,Current,2024-07-23
284,244,Savings,2023-03-09
285,245,Savings,2022-05-20
286,246,Savings,2022-02-05
287,247,Current,2024-07-27
288,248,Current,2024-08-17
289,248,Savings,2024-08-17
290,249,Current,2024-01-10
291,250,Savings,2022-04-14
292,251,Savings,2022-10-21
293,252,Current,2022-02-11
294,253,Savings,2022-02-21
295,254,Savings,2022-09-04
296,255,Savings,2023-07-27
297,256,Savings,2022-03-07
298,257,Current,2024-09-11
299,258,Savings,2023-04-01
300,259,Savings,2022-09-21
301,260,Savings,2023-06-01
302,261,Savings,2024-03-01
303,262,Savings,2022-11-09
304,263,Savings,2022-02-17
305,264,Savings,2022-02-20
306,265,Savings,2024-05-01
307,266,Savings,2022-04-22
308,266,Current,2022-04-22
309,267,Savings,2023-09-28
310,267,Savings,2023-09-28
311,268,Savings,2023-01-20
312,268,Savings,2023-01-20
313,269,Savings,2024-02-17
314,270,Current,2022-03-02
315,271,Savings,2024-06-16
316,271,Savings,2024-06-16
317,272,Current,2023-11-30
318,273,Current,2023-03-26
319,274,Savings,2022-07-27
320,275,Current,2024-09-04
321,276,Savings,2022-10-30
322,277,Savings,2023-05-06
323,277,Savings,2023-05-06
324,278,Savings,2023-01-30
325,279,Savings,2022-08-19
326,279,Savings,2022-08-19
327,280,Current,2023-02-21
328,281,Current,2022-06-01
329,282,Current,2022-01-02
330,283,Current,2022-10-17
331,283,Current,2022-10-17
332,284,Savings,2022-04-23
333,285,Savings,2023-02-19
334,286,Current,2024-05-12
335,286,Savings,2024-05-12
336,287,Savings,2022-06-12
337,288,Savings,2022-01-02
338,289,Savings,2022-04-22
339,290,Savings,2023-05-24
340,291,Current,2022-10-02
341,292,Savings,2023-05-05
342,293,Savings,2022-01-30
343,294,Savings,2022-11-30
344,294,Savings,2022-11-30
345,295,Current,2023-02-15
346,295,Savings,2023-02-15
347,296,Savings,2023-03-08
348,297,Savings,2023-07-06
349,298,Current,2024-02-20
350,299,Savings,2023-04-13
351,300,Current,2024-04-21
352,301,Current,2023-06-14
353,302,Savings,2022-09-18
354,302,Savings,2022-09-18
355,303,Savings,2022-08-18
356,304,Savings,2022-11-19
357,304,Savings,2022-11-19
358,305,Savings,2023-08-21
359,306,Savings,2022-08-31
360,307,Savings,2024-07-03
361,308,Savings,2023-04-25
362,309,Current,2024-05-13
363,310,Savings,2023-11-15
364,311,Savings,2022-11-30
365,312,Savings,2022-08-17
366,313,Savings,2024-01-14
367,313,Savings,2024-01-14
368,314,Savings,2022-11-27
369,315,Savings,2022-09-04
370,316,Savings,2024-07-19
371,317,Savings,2023-04-28
372,317,Current,2023-04-28
373,318,Savings,2022-02-18
374,319,Savings,2023-05-10
375,320,Savings,2023-04-06
376,321,Current,2024-05-13
377,322,Savings,2023-12-13
378,323,Savings,2022-07-11
379,324,Savings,2022-05-31
380,324,Savings,2022-05-31
381,325,Savings,2023-08-27
382,326,Savings,2022-02-17
383,327,Savings,2022-11-16
384,328,Savings,2022-05-19
385,329,Savings,2022-01-21
386,330,Savings,2024-07-07
387,330,Savings,2024-07-07
388,331,Savings,2022-03-31
389,331,Savings,2022-03-31
390,332,Savings,2022-01-10
391,333,Savings,2024-07-21
392,333,Savings,2024-07-21
393,334,Savings,2022-07-08
394,335,Savings,2024-03-27
395,336,Savings,2022-02-01
396,337,Savings,2022-06-03
397,338,Savings,2022-04-21
398,339,Savings,2023-12-08
399,340,Current,2023-09-13
400,341,Current,2023-04-21
401,342,Savings,2022-08-30
402,343,Savings,2022-03-30
403,344,Savings,2023-07-24
404,345,Savings,2022-08-19
405,346,Savings,2023-08-14
406,347,Savings,2023-11-19
407,348,Savings,2024-04-29
408,349,Current,2023-05-09
409,350,Savings,2022-01-05
410,351,Current,2022-10-08
411,351,Savings,2022-10-08
412,352,Current,2024-05-03
413,352,Savings,2024-05-03
414,353,Savings,2023-06-18
415,354,Savings,2023-09-12
416,355,Savings,2023-04-03
417,356,Savings,2022-06-12
418,357,Savings,2024-06-15
419,358,Savings,2024-02-12
420,359,Current,2024-09-22
421,360,Current,2024-05-05
422,360,Savings,2024-05-05
423,361,Savings,2022-10-19
424,362,Current,2022-09-12
425,363,Savings,2022-09-06
426,364,Savings,2024-07-07
427,365,Savings,2023-07-11
428,366,Savings,2023-03-31
429,366,Current,2023-03-31
430,367,Savings,2024-08-26
431,368,Current,2023-08-27
432,369,Current,2024-06-28
433,370,Savings,2024-09-11
434,371,Savings,2022-03-21
435,372,Current,2022-12-28
436,373,Savings,2024-01-05
437,374,Savings,2024-03-24
438,375,Savings,2022-05-29
439,376,Current,2022-11-15
440,377,Savings,2023-07-03
441,378,Current,2024-03-10
442,379,Savings,2022-04-23
443,380,Current,2023-08-24
444,381,Savings,2022-10-24
445,382,Savings,2022-08-05
446,383,Savings,2023-05-31
447,384,Savings,2023-02-19
448,385,Savings,2023-09-28
449,385,Savings,2023-09-28
450,386,Savings,2022-11-14
451,386,Savings,2022-11-14
452,387,Savings,2024-04-03
453,387,Savings,2024-04-03
454,388,Savings,2022-03-20
455,389,Savings,2024-05-11
456,390,Savings,2022-01-30
457,391,Savings,2024-01-06
458,392,Current,2022-12-13
459,392,Savings,2022-12-13
460,393,Savings,2023-01-19
461,394,Current,2022-01-20
462,395,Savings,2023-12-04
463,396,Savings,2022-06-15
464,397,Savings,2023-10-22
465,398,Savings,2023-12-27
466,399,Current,2024-04-25
467,400,Current,2023-12-10
468,400,Savings,2023-12-10
