month,category,spend,prev_month_spend,mom_change,running_total
2024-12,healthcare,111238.51,109467.79,1770.72,1180613.17
2025-01,healthcare,90250.26,111238.51,-20988.25,1270863.43
2025-02,healthcare,102070.39,90250.26,11820.13,1372933.82
2025-03,healthcare,123241.94,102070.39,21171.55,1496175.76
2025-04,healthcare,80522.28,123241.94,-42719.66,1576698.04
2025-05,healthcare,91964.04,80522.28,11441.76,1668662.08
2025-06,healthcare,81937.54,91964.04,-10026.5,1750599.62
2024-01,shopping,202746.26,,,202746.26
2024-02,shopping,231154.0,202746.26,28407.74,433900.26
2024-03,shopping,237664.75,231154.0,6510.75,671565.01
2024-04,shopping,190949.12,237664.75,-46715.63,862514.13
2024-05,shopping,246609.2,190949.12,55660.08,1109123.33
2024-06,shopping,197276.31,246609.2,-49332.89,1306399.64
2024-07,shopping,180843.16,197276.31,-16433.15,1487242.8
2024-08,shopping,184144.99,180843.16,3301.83,1671387.79
2024-09,shopping,209900.26,184144.99,25755.27,1881288.05
2024-10,shopping,223993.76,209900.26,14093.5,2105281.81
2024-11,shopping,213717.86,223993.76,-10275.9,2318999.67
2024-12,shopping,207797.03,213717.86,-5920.83,2526796.7
2025-01,shopping,220962.29,207797.03,13165.26,2747758.99
2025-02,shopping,211539.8,220962.29,-9422.49,2959298.79
2025-03,shopping,212289.38,211539.8,749.58,3171588.17
2025-04,shopping,231140.26,212289.38,18850.88,3402728.43
2025-05,shopping,230335.92,231140.26,-804.34,3633064.35
2025-06,shopping,192045.27,230335.92,-38290.65,3825109.62
2024-01,transfer,323692.68,,,323692.68
2024-02,transfer,252935.35,323692.68,-70757.33,576628.03
2024-03,transfer,286669.87,252935.35,33734.52,863297.9
2024-04,transfer,237953.43,286669.87,-48716.44,1101251.33
2024-05,transfer,322013.49,237953.43,84060.06,1423264.82
2024-06,transfer,285366.74,322013.49,-36646.75,1708631.56
2024-07,transfer,231712.39,285366.74,-53654.35,1940343.95
2024-08,transfer,306438.79,231712.39,74726.4,2246782.74
2024-09,transfer,300477.19,306438.79,-5961.6,2547259.93
2024-10,transfer,335471.85,300477.19,34994.66,2882731.78
2024-11,transfer,255418.76,335471.85,-80053.09,3138150.54
2024-12,transfer,309039.41,255418.76,53620.65,3447189.95
2025-01,transfer,267616.69,309039.41,-41422.72,3714806.64
2025-02,transfer,234136.57,267616.69,-33480.12,3948943.21
2025-03,transfer,329142.81,234136.57,95006.24,4278086.02
2025-04,transfer,209997.91,329142.81,-119144.9,4488083.93
2025-05,transfer,277507.54,209997.91,67509.63,4765591.47
2025-06,transfer,255027.2,277507.54,-22480.34,5020618.67
2024-01,travel,129847.06,,,129847.06
2024-02,travel,112585.37,129847.06,-17261.69,242432.43
2024-03,travel,86327.53,112585.37,-26257.84,328759.96
2024-04,travel,121583.07,86327.53,35255.54,450343.03
2024-05,travel,86591.73,121583.07,-34991.34,536934.76
2024-06,travel,124114.16,86591.73,37522.43,661048.92
2024-07,travel,95036.7,124114.16,-29077.46,756085.62
2024-08,travel,117174.44,95036.7,22137.74,873260.06
2024-09,travel,94324.67,117174.44,-22849.77,967584.73
2024-10,travel,112814.91,94324.67,18490.24,1080399.64
2024-11,travel,126761.64,112814.91,13946.73,1207161.28
2024-12,travel,129218.35,126761.64,2456.71,1336379.63
2025-01,travel,107866.04,129218.35,-21352.31,1444245.67
2025-02,travel,76144.26,107866.04,-31721.78,1520389.93
2025-03,travel,118953.42,76144.26,42809.16,1639343.35
2025-04,travel,91296.37,118953.42,-27657.05,1730639.72
2025-05,travel,118419.65,91296.37,27123.28,1849059.37
2025-06,travel,108164.14,118419.65,-10255.51,1957223.51
2024-01,unknown,6293.87,,,6293.87
2024-02,unknown,9013.68,6293.87,2719.81,15307.55
2024-03,unknown,2921.75,9013.68,-6091.93,18229.3
2024-04,unknown,8453.38,2921.75,5531.63,26682.68
2024-05,unknown,5992.71,8453.38,-2460.67,32675.39
2024-06,unknown,13470.3,5992.71,7477.59,46145.69
2024-07,unknown,17919.09,13470.3,4448.79,64064.78
2024-08,unknown,10972.05,17919.09,-6947.04,75036.83
2024-09,unknown,10304.1,10972.05,-667.95,85340.93
2024-10,unknown,6890.6,10304.1,-3413.5,92231.53
2024-11,unknown,7810.04,6890.6,919.44,100041.57
2024-12,unknown,12393.78,7810.04,4583.74,112435.35
2025-01,unknown,4250.24,12393.78,-8143.54,116685.59
2025-02,unknown,12107.43,4250.24,7857.19,128793.02
2025-03,unknown,24011.94,12107.43,11904.51,152804.96
2025-04,unknown,12483.79,24011.94,-11528.15,165288.75
2025-05,unknown,19181.31,12483.79,6697.52,184470.06
2025-06,unknown,13727.19,19181.31,-5454.12,198197.25
2024-01,utilities,136472.74,,,136472.74
2024-02,utilities,161356.08,136472.74,24883.34,297828.82
2024-03,utilities,141005.31,161356.08,-20350.77,438834.13
2024-04,utilities,118557.36,141005.31,-22447.95,557391.49
2024-05,utilities,138069.41,118557.36,19512.05,695460.9
2024-06,utilities,130895.59,138069.41,-7173.82,826356.49
2024-07,utilities,138727.96,130895.59,7832.37,965084.45
2024-08,utilities,141876.13,138727.96,3148.17,1106960.58
2024-09,utilities,130443.97,141876.13,-11432.16,1237404.55
2024-10,utilities,133975.11,130443.97,3531.14,1371379.66
2024-11,utilities,125890.64,133975.11,-8084.47,1497270.3
2024-12,utilities,138335.54,125890.64,12444.9,1635605.84
2025-01,utilities,131622.02,138335.54,-6713.52,1767227.86
2025-02,utilities,119787.47,131622.02,-11834.55,1887015.33
2025-03,utilities,139441.78,119787.47,19654.31,2026457.11
2025-04,utilities,145787.38,139441.78,6345.6,2172244.49
2025-05,utilities,136009.98,145787.38,-9777.4,2308254.47
2025-06,utilities,125113.86,136009.98,-10896.12,2433368.33
